subset	ensembl_gene_id
a	ENSMUSG00000020770
a	ENSMUSG00000026442
a	ENSMUSG00000042363
a	ENSMUSG00000049176
a	ENSMUSG00000032564
a	ENSMUSG00000031024
a	ENSMUSG00000108423
a	ENSMUSG00000020131
a	ENSMUSG00000035711
a	ENSMUSG00000006576
a	ENSMUSG00000079057
a	ENSMUSG00000021510
a	ENSMUSG00000062591
a	ENSMUSG00000027636
b	ENSMUSG00000050556
b	ENSMUSG00000033066
b	ENSMUSG00000020886
b	ENSMUSG00000040543
b	ENSMUSG00000030096
b	ENSMUSG00000021991
b	ENSMUSG00000041308
b	ENSMUSG00000022055
b	ENSMUSG00000027797
b	ENSMUSG00000020889
b	ENSMUSG00000032936
b	ENSMUSG00000050965
b	ENSMUSG00000032192
b	ENSMUSG00000038370
b	ENSMUSG00000020435
b	ENSMUSG00000026885
b	ENSMUSG00000035486
b	ENSMUSG00000020599
b	ENSMUSG00000025867
b	ENSMUSG00000037224
b	ENSMUSG00000022389
b	ENSMUSG00000070003
b	ENSMUSG00000039714
b	ENSMUSG00000040860
b	ENSMUSG00000038530
b	ENSMUSG00000035314
b	ENSMUSG00000046447
b	ENSMUSG00000050321
b	ENSMUSG00000000308
b	ENSMUSG00000027270
b	ENSMUSG00000034730
b	ENSMUSG00000059824
b	ENSMUSG00000041771
b	ENSMUSG00000022237
b	ENSMUSG00000037126
b	ENSMUSG00000014782
b	ENSMUSG00000022594
b	ENSMUSG00000026473
b	ENSMUSG00000052305
b	ENSMUSG00000047747
b	ENSMUSG00000021508
b	ENSMUSG00000029608
b	ENSMUSG00000000305
b	ENSMUSG00000032883
b	ENSMUSG00000014786
b	ENSMUSG00000039059
b	ENSMUSG00000048458
b	ENSMUSG00000032586
b	ENSMUSG00000037872
b	ENSMUSG00000051111
b	ENSMUSG00000032846
b	ENSMUSG00000003949
b	ENSMUSG00000059146
b	ENSMUSG00000036902
b	ENSMUSG00000021750
b	ENSMUSG00000074968
b	ENSMUSG00000048978
b	ENSMUSG00000060371
b	ENSMUSG00000020893
b	ENSMUSG00000001175
